id,name,release_year,genre,score,director,status,language,image,overview,runtime_h,budget_usd,revenue_usd
861,Truy Tìm Ký Ức,1990,"Phim Hành Động, Phim Phiêu Lưu, Phim Khoa Học Viễn Tưởng",73,Paul Verhoeven,Released,Tiếng Anh,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/wVbeL6fkbTKSmNfalj4VoAUUqJv.jpg,"Lấy bối cảnh tương lai, năm 2084. Douglas Quaid là một công nhân xây dựng. Hằng đêm Doug gặp những cơn ác mộng về sao Hỏa, điều này trở nên ám ảnh anh. Doug đến công ty Rekall, một công ty chuyên kinh doanh các loại ký ức giả về những kỳ nghỉ lý tưởng. Khi Doug được cấy vào người ký ức về sao Hỏa, mọi chuyện trở nên cực kỳ tồi tệ. Doug mất hết ký ức của mình và bị theo đuổi bởi một nhóm sát thủ. Cô vợ xinh đẹp của anh, Lori, cũng là một điệp viên, người khẳng định rằng cuộc đời anh là một vở kịch lừa dối, anh thực sự không phải là con người mà anh biết. Sau khi phát hiện ra mình là Hauser, một điệp viên tình báo của sao Hỏa, Quaid quyết định đến sao Hỏa với hy vọng tìm kiếm câu trả lời. Ở đó, anh gặp một người phụ nữ tên là Melina, người đang phục vụ cho phe nổi loạn, chống lại Vilos Cohaggen, nhà cầm quyền nhũng nhiễu ở đây. Khi Doug bắt đầu phát hiện ra con người thật của mình cũng là lúc anh nghi ngờ sự thật. Liệu đây là trò lừa của công ty Rekall hay tất cả là sự thật?",1.88,6.5E7,2.6131792E8
33,Không Tha Thứ,1992,Phim Miền Tây,79,Clint Eastwood,Released,Tiếng Anh,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/54roTwbX9fltg85zjsmrooXAs12.jpg,"Big Whisky là một thị trấn kỳ lạ của những năm đầu thế kỷ 19 tại miền Tây nước Mỹ bởi hầu hết mọi người đều muốn sống lặng lẽ. Câu chuyện bắt đầu với hình ảnh một ngôi nhà, một cái cây và một người đàn ông ngồi bên nấm mộ. Mặt trời đang chiếu qua khung cửa của những ngôi nhà quanh đó, ở đấy mỗi người có một cuộc đời khác nhau trong sự yên bình chung của cả thị trấn. William Munny là một cư dân của thị trấn Big Whisky. Ông vốn là một sát thủ khét tiếng quyết rũ bỏ giang hồ để về hưởng cuộc sống bình thường bên cạnh con. Vợ ông, bà Claudia ra đi để lại cho ông một ngôi nhà sơ sài và hai cậu con trai nhỏ. Cuộc sống trở nên khó khăn khi William không đủ tiền trang trải sinh hoạt hằng ngày của ba bố con. Một hôm, có một người đàn ông tên Schofield Kid đến tìm William Munny vì nghe nói ông là một người lạnh lùng băng giá và không có dây thần kinh sợ hãi. William đã nhẹ nhàng nói rằng: “Tôi không còn là con người đó nữa Kid ạ. Chính vợ tôi đã đưa tôi ra khỏi những cơn nghiện ngập và tội lỗi”.",2.18,1.44E7,1.5915744E8
68726,Siêu Đại Chiến,2013,"Phim Hành Động, Phim Khoa Học Viễn Tưởng, Phim Phiêu Lưu",69,Guillermo del Toro,Released,Tiếng Anh,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/aJLJkeJM9F6hUnD5yTsETQrPP5o.jpg,"Một bộ phim hấp dẫn không thể bỏ qua khi con người phải chiến đấu chống lại những quái vật đến từ kẽ nứt của Thái Bình Dương mang tên gọi Kaiju. Chúng đang đe dọa hủy diệt thế giới loài người khi con người gần như thất bại hoàn toàn trước sức mạnh của lũ quái khổng lồ.  Để tiêu diệt những sinh vật này, một loại vũ khí đặc biệt đã được chế tạo: Những robot khổng lồ, được gọi là Jeager. Được điều khiển đồng thời bởi hai phi công, tâm trí của họ được khóa lại trong một cầu nối thần kinh. Nhưng những robot này thậm chí vẫn không thể nào đối chọi lại được lũ quái vật kia.  Lực lượng phòng vệ của loài người không còn lựa chọn nào khác buộc phải ủy thác tất cả vào hai người hùng mà chẳng ai ngờ tới: Một cựu phi công hay gây rắc rối và một phi công thực tập, còn chưa được sát hạch. Họ cùng phối hợp điều khiển một Jeager từng là huyền thoại nhưng nay đã lỗi thời. Họ trở thành hy vọng cuối cùng của nhân loại trước bờ vực diệt vong...",2.18,1.8E8,4.11E8
7446,Sấm Nhiệt Đới,2008,"Phim Hành Động, Phim Hài, Phim Phiêu Lưu, Phim Chiến Tranh",67,Ben Stiller,Released,Tiếng Anh,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/lj3QDHogEcEQX35npaVUKi38Tdg.jpg,"“Sấm nhiệt đới – Tropic Thunder” là một bBPhim xoay quanh câu chuyện về đoàn làm phim đã lỗi thời trong nỗ lực tìm lại hào quang đã mất của mình.  Một tay súng kì cựu trong cuộc chiến tranh Việt Nam – trung sĩ John “bốn lá” đề ra ý tưởng làm ra bộ phim với đề tài chiến tranh Việt Nam. Ông thu thập những diễn viên nổi tiếng một thời nhưng hiện tại đã bị hào quang rời bỏ để lập thành một đoàn làm phim đặt biệt. Dự án chậm tiến độ và gặp nguy cơ bị bỏ rơi bởi nhà sản xuất.  Theo lời khuyên của “Bốn lá”, Damien thả các diễn viên vào giữa rừng với máy quay ẩn và các vụ nổ hiệu ứng đặc biệt để dựng phim “theo phong cách du kích”, tăng độ chân thực và kịch tính cho phim. Các diễn viên được trang bị những khẩu súng giả cùng với một bản đồ và danh sách cảnh quay sẽ dẫn đến một chiếc trực thăng đang chờ ở cuối tuyến. Không ngờ rằng nơi đoàn phim bị bỏ lại là khu vực “Tam giác vàng” của băng đảng buôn bán heroin.",1.78,9.2E7,1.95702816E8
9470,Tuyệt Đỉnh Công Phu,2004,"Phim Hành Động, Phim Hài, Phim Hình Sự, Phim Giả Tượng",75,Châu Tinh Trì,Released,Cantonese,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/ovf1rxwez1ORpHxZ0fNmF5fLi2C.jpg,"Trong xã hội hỗn loạn ở Trung Quốc những năm 1940, các băng nhóm thực sự có ảnh hưởng. Trong phim, đáng sợ nhất phải kể đến đảng Lưỡi Búa mà kẻ đứng đầu là Sum. Băng nhóm của Sum đi đến đâu nỗi kinh hoàng theo tới đó. Người dân thành phố thì lo lắng, đám cảnh sát thì sợ sệt. Chỉ duy có khu ổ chuột Chuồng Heo là không bị đám côn đồ nhũng nhiễu vì người dân nơi đây quá nghèo. Một ngày nọ, đột nhiên có hai tên lang thang giả dạng lưu manh Sing và Bone xuất hiện và định moi tiền của một anh thợ cắt tóc. Xung đột xảy ra trong phim này và bọn chúng được phen bất ngờ khi toàn bộ dân khu này ai cũng rất giỏi võ. Đảng Lưỡi Búa lại kéo tới chi viện, chúng bị các cao thủ đánh cho một trận thừa sống thiếu chết. Mâu thuẫn trở nên sâu sắc, Sum phái Sing đi mời đại cao thủ Quái Vật bất bại về làm cỏ khu Chuồng Heo. Tuy nhiên trong phim online này lại xuất hiện một người anh hùng có khả năng chặn đứng Quái Vật, anh là ai?",1.65,2.0E7,1.02034104E8
630,Phù Thủy Xứ Oz,1939,"Phim Phiêu Lưu, Phim Giả Tượng, Phim Gia Đình",76,Victor Fleming,Released,Tiếng Anh,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/pfAZFD7I2hxW9HCChTuAzsdE6UX.jpg,"Phim kể về câu chuyện của nhân vật chính là cô gái mồ côi tên Dorothy Gale (do Judy Garland thủ vai) sống cùng người bác Henry và Em – vợ ông làm chủ trong trang trại ở Kansas. Hàng ngày chứng kiến người láng giềng khó tính cứ ăn hiếp con chó của cô, cảm thấy buồn chán và tẻ nhạt, Dorothy mơ có ngày được đi trên cầu vồng đến một thế giới khác, nơi chứa ẩn nhiều sự mới mẻ và thú vị. Mong ước của cô bất ngờ trở thành hiện thực, khi một cơn lốc cuốn cô và chú chó nhỏ Toto đến Con đường gạch vàng (Yellow Brick Road) để đi đến vương quốc đầy màu sắc Oz, nơi có các nhân vật thần tiên và những điều nhiệm màu. Được sự giúp của vị phù thủy tốt lành, Dorothy tìm đến thành phố Ngọc lục bảo ( Emerald City), nhờ vậy cô gặp gỡ những người bạn mới thú vị. Họ cũng có lý tưởng và ước mơ riêng của mình và hành trình của cô cùng những người bạn chính thức bắt đầu với bao khó khăn và bất ngờ liên tiếp kéo đến.",1.7,2777000.0,3.3754968E7
660,Điệp Viên 007: Quả Cầu Sấm Sét,1965,"Phim Phiêu Lưu, Phim Hành Động, Phim Gây Cấn",67,Jack Whittingham,Released,Tiếng Anh,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/wCc4qllaTDsQN8zgGkAgQrKO6N9.jpg,"Nội dung của phim bắt đầu từ một kế hoạch hết sức táo bạo và nguy hiểm của tổ chức SPECTER, sự liều lĩnh của chúng là không phải bàn cãi khi mà chúng quyết định tấn công máy bay của NATO để rồi sau đó chiếm đoạt 2 đầu đạn hạt nhân với sức công phá khổng lồ, mỗi đầu đạn có khả năng gây ra cái chết cho hàng triệu người vô tội. Thế giới giờ đây giống như đang bị giữ làm con tin bởi mối đe dọa của một cơn ác mộng mang tên hạt nhân, Điệp Viên 007 Bond nhảy vào hành động, chạy đua với thời gian như những con đường dẫn anh đến vùng nhiệt đới Nassau. Ở đó, anh gặp Emilio Largo, một đại diện cao cấp của SPECTER, và cô nàng Domino xinh đẹp tuyệt vời, người mà anh đã mang tới một sự thu hút không thể cưỡng lại được. Sự đối đầu của 2 thái cực đã tạo ra một trận chiến khốc liệt trên đại dương, đó là cuộc chiến mà Bond và các đồng minh của mình chiến đấu để ngăn chặn một thảm họa hạt nhân rất có thể sẽ xảy ra sớm.",2.17,9000000.0,1.412E8
102899,Ant-Man: Người Kiến,2015,"Phim Khoa Học Viễn Tưởng, Phim Hành Động, Phim Phiêu Lưu",71,Joe Cornish,Released,Tiếng Anh,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/oVZIVwOXZuZ28xLhsGlY0LlfP41.jpg,"Câu chuyện bắt đầu từ giáo sư Hank Pym (Michael Douglas thủ vai), Người Kiến đầu tiên với phát minh vĩ đại là bộ giáp biến đổi kích cỡ con người. Không chỉ thu nhỏ cơ thể để chiến đấu linh hoạt, bộ giáp siêu hạng còn đem lại những năng lực đặc biệt như trò chuyện với kiến, di chuyển với tốc độ nhanh. Nhưng thật không may, công nghệ tạo ra bộ giáp đã bị Darren Cross (Yellowjacket) chiếm đoạt và đưa vào sản xuất hàng loạt. Tất nhiên, “nếu trao quyền năng của Thượng đế cho tất cả mọi người thì thế giới này sẽ trở nên hỗn loạn”. Để ngăn chặn mối nguy hại đến từ Yellowjacket, giáo sư Hank Pym cùng trợ thủ Hope van Dyne (Evangeline Lilly thủ vai) đã tìm đến Scott Lang – một tên trộm vặt lừng danh từng vào tù ra tội, để nhờ anh lấy lại công nghệ đặc biệt và ngăn chặn Yellowjacket. Scott đã trở thành Người Kiến tiếp theo, bắt đầu làm quen với việc điều khiển bộ giáp và sử dụng các siêu năng lực đặc biệt.",1.95,1.3E8,5.19311968E8
420809,Tiên Hắc Ám 2,2019,"Phim Gia Đình, Phim Giả Tượng, Phim Phiêu Lưu, Phim Hành Động",73,Linda Woolverton,Released,Tiếng Anh,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/uJcXMpNeuU06V3BQz37EtShaQYX.jpg,"Thời gian trôi qua thật bình yên với Maleficent và Aurora. Mặc dù mối quan hệ của cả hai được tạo dựng từ những tổn thương, thù hận rồi sau đó mới đến tình yêu thương nhưng cuối cùng thì nó cũng đã đơm hoa kết trái. Tuy vậy, xung đột giữa hai giới: loài người và tiên tộc vẫn vẫn luôn hiện hữu. Cuộc hôn nhân vốn bị trì hoãn giữa Aurora và Hoàng tử Phillips chính là cầu nối gắn kết Vương quốc Ulstead và nước láng giềng Moors lại với nhau.  Bất ngờ thay, sự xuất hiện của một phe đồng minh hoàn toàn mới sẽ khiến Maleficent và Aurora bị chia cắt về hai chiến tuyến trong trận Đại Chiến. Trận chiến này sẽ thử thách lòng tin lẫn tình cảm của cả hai. Liệu rằng họ có thật sự trở thành một gia đình hay không? Tất cả sẽ được giải đáp trong Maleficent: Mistress of Evil/ Tiên Hắc Ám 2.",1.98,1.85E8,4.9173008E8
88,Vũ Điệu Hoang Dã,1987,"Phim Chính Kịch, Phim Nhạc, Phim Lãng Mạn",73,Emile Ardolino,Released,Tiếng Anh,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/9Jw6jys7q9gjzVX5zm1z0gC8gY9.jpg,"Mùa hè năm 1963, Frances Houseman (Jennifer Grey), cô con gái 17 tuổi của một bác sĩ gốc Do Thái tại New York, cùng gia đình đi du lịch tại một khu nghỉ dưỡng trên cao nguyên Catskill. Sau kỳ nghỉ này, Frances sẽ tới Đại học Mount Holyoke để học kinh tế. Ước nguyện lớn nhất của đời cô là được làm việc trong các tổ chức từ thiện phi chính phủ.  Frances nhanh chóng chiếm được cảm tình của những nhân viên phụ trách mảng giải trí trong khu nghỉ dưỡng, trong đó có vũ sư Johnny Castle (Patrick Swayze). Khi được mời tới tham dự một bữa tiệc, cô có cơ hội chiêm ngưỡng những vũ điệu sôi động do các nhân viên phục vụ trình diễn, trong đó Johnny và Penny là cặp nhảy trung tâm. Cô bé nhút nhát Frances bỗng dưng cảm thấy có một luồng điện chạy dọc cơ thể, rồi sau đó các bộ phận trên người cô cũng uốn éo theo bản nhạc. Johnny Castle dạy cô gái vài động tác cơ bản, nhưng chỉ từng ấy động tác cũng đủ để cô nhận ra niềm đam mê của mình đối với một bộ môn nghệ thuật mới lạ.",1.67,6000000.0,2.14577248E8
