id,name,release_year,genre,runtime,score,director,status,language,budget,revenue,image,overview,page,index,time_craw
1212855,Săn Đuổi Trên Không(2025),05/09/2025 (US,"['Phim Hành Động', 'Phim Gây Cấn']",1h 42m,42,James Madigan,Released,Tiếng Anh,-,-,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/x4nWnfgJvL045rcUCSJzfgIIY9i.jpg,"Cựu đặc vụ FBI Lucas Reyes (do Josh Hartnett thủ vai) hiện đang làm lính đánh thuê sau khi mất việc. Anh được cấp trên cũ, Katherine Brunt, giao nhiệm vụ bắt giữ một tội phạm quốc tế được gọi là ""Ghost"" trên chuyến bay từ Singapore đến San Francisco. ""Ghost"" thực chất là Isha Mallik (do Charithra Chandran thủ vai), một nạn nhân của bọn buôn người, hiện đang trộm cắp của giới tội phạm giàu có để giúp đỡ người nghèo. Trên chuyến bay, ngoài Lucas, còn có nhiều sát thủ và thợ săn tiền thưởng khác cũng nhắm đến Isha. Lucas phải bảo vệ Isha khỏi những mối đe dọa này.",1,1,2025-04-08 15:07:22
1140847,Cinderella's Revenge(2024),05/27/2024 (GB,"['Phim Giả Tượng', 'Phim Kinh Dị']",1h 25m,41,Charles Perrault,Released,Tiếng Anh,-,-,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/cYB3SHhITJSbRoisgn9QQTP8YkZ.jpg,"Cinderella finds freedom from her wicked stepmother with the help of her fairy godmother. Only this time, they unleash a plan of bloody vengeance.",1,2,2025-04-08 15:07:27
939243,Nhím Sonic 3(2024),12/27/2024 (VN,"['Phim Hành Động', 'Phim Khoa Học Viễn Tưởng', 'Phim Hài', 'Phim Gia Đình', 'Phim Phiêu Lưu', 'Phim Giả Tượng']",1h 50m,77,Patrick Casey,Released,Tiếng Anh,"$122,000,000.00","$486,018,457.00",https://media.themoviedb.org/t/p/w300_and_h450_bestv2/zRgxYzRu4s8smKMskdfMA2hOzyN.jpg,"Sonic, Knuckles và Tails phải đối mặt với một kẻ thù mới cực kỳ mạnh mẽ là Shadow - một nhân vật phản diện bí ẩn với sức mạnh không giống bất kỳ đối thủ nào họ từng đối mặt trước đây. Bị áp đảo về năng lực, Sonic phải lên đường thành lập một liên minh to lớn hơn.",1,3,2025-04-08 15:07:32
822119,Captain America: Thế Giới Mới(2025),02/14/2025 (VN,"['Phim Hành Động', 'Phim Gây Cấn', 'Phim Khoa Học Viễn Tưởng']",1h 59m,61,Julius Onah,Released,Tiếng Anh,"$180,000,000.00","$411,409,721.00",https://media.themoviedb.org/t/p/w300_and_h450_bestv2/fWTZk4Y7HTyTTGNJnXNaX3XTE0v.jpg,"Sau khi gặp Tổng thống Hoa Kỳ mới đắc cử Thaddeus Ross, Sam Wilson thấy mình bị cuốn vào một sự cố . Anh phải khám phá lý do đằng sau một âm mưu cực kì xấu xa trước khi kẻ chủ mưu thật sự khiến cả thế giới phải hoảng sợ",1,4,2025-04-08 15:07:38
1241982,Hành Trình Của Moana 2(2024),11/29/2024 (VN,"['Phim Hoạt Hình', 'Phim Phiêu Lưu', 'Phim Gia Đình', 'Phim Hài']",1h 39m,71,Dana Ledoux Miller,Released,Tiếng Anh,"$150,000,000.00","$1,059,544,057.00",https://media.themoviedb.org/t/p/w300_and_h450_bestv2/g8ikn2lfi4R04U7BtXvHmYvnUTV.jpg,"“Hành Trình của Moana 2” là màn tái hợp của Moana và Maui sau 3 năm, trở lại trong chuyến phiêu lưu cùng với những thành viên mới. Theo tiếng gọi của tổ tiên, Moana sẽ tham gia cuộc hành trình đến những vùng biển xa xôi của Châu Đại Dương và sẽ đi tới vùng biển nguy hiểm, đã mất tích từ lâu. Cùng chờ đón cuộc phiêu lưu của Moana đầy chông gai sắp tới nhé.",1,5,2025-04-08 15:07:42
1197306,Mật Vụ Phụ Hồ(2025),04/04/2025 (VN,"['Phim Hành Động', 'Phim Hình Sự', 'Phim Gây Cấn']",1h 56m,65,David Ayer,Released,Tiếng Anh,"$40,000,000.00","$44,417,000.00",https://media.themoviedb.org/t/p/w300_and_h450_bestv2/qmVVc6ZVw9PEwkr4G0Obmlg7woC.jpg,"Levon Cade - cựu biệt kích tinh nhuệ thuộc lực lượng Thủy quân Lục chiến Hoàng gia Anh. Sau khi nghỉ hưu, anh sống cuộc đời yên bình là một công nhân xây dựng tại Chicago (Mỹ). Levon có mối quan hệ rất tốt với gia đình ông chủ Joe Garcia (Michael Peña). Một ngày nọ, cô con gái tuổi teen Jenny (Arianna Rivas) của Joe bị bắt cóc khiến chàng cựu quân nhân phải sử dụng lại các kỹ năng giết chóc của mình để giúp đỡ.",1,6,2025-04-08 15:07:47
1261050,The Quiet Ones(2024),10/31/2024 (DK,"['Phim Hành Động', 'Phim Chính Kịch']",1h 50m,48,Frederik Louis Hviid,Released,Tiếng Đan Mạch,-,-,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/7NLY1jNwtZX1yVzwVoBeAhaBE8i.jpg,"In 2008, a group of men from Denmark and across Europe pull off the biggest heist of all time on Danish soil. Kasper, a boxer with few chances left in life, is offered the opportunity to plan the robbery by its foreign initiators.",1,7,2025-04-08 15:07:54
1195430,Deva(2025),01/31/2025 (IN,"['Phim Hành Động', 'Phim Gây Cấn', 'Phim Bí Ẩn', 'Phim Hình Sự']",2h 35m,32,Bobby,Released,Tiếng Hin-đi,"$9,895,000.00",-,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/4wKpglgZYMYpISMdThgdqS1TSQc.jpg,"Dev Ambre, a ruthless cop, loses his memory in an accident just after he has finished solving a murder case and now has to reinvestigate it while keeping his memory loss a secret from everyone except DCP Farhan Khan.",1,8,2025-04-08 15:08:00
1388366,Thuyền Trưởng Popeye(2025),03/21/2025 (US,['Phim Kinh Dị'],1h 28m,61,Robert Michael Ryan,Released,Tiếng Bồ Đào Nha,-,-,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/nVwu3mN7hr1yF467pGct3yQFM41.jpg,"Một nhóm sinh viên quyết định quay phim tài liệu về truyền thuyết ""Người thủy thủ"" tại nhà máy đóng hộp rau bina bỏ hoang, nơi được cho là bị ám bởi nhân vật này. Trong quá trình khám phá, họ phát hiện ra rằng truyền thuyết không chỉ là hư cấu khi đối mặt với một thực thể siêu nhiên có sức mạnh khủng khiếp. Những bí mật đen tối về sự ô nhiễm tại nhà máy và sự biến đổi của ""Người thủy thủ"" dần được hé lộ, đặt nhóm bạn trẻ vào tình thế nguy hiểm chết người.",1,9,2025-04-08 15:08:04
696506,Mickey 17(2025),03/07/2025 (GB,"['Phim Khoa Học Viễn Tưởng', 'Phim Hài', 'Phim Phiêu Lưu']",2h 17m,70,Bong Joon Ho,Released,Tiếng Anh,"$118,000,000.00","$122,908,117.00",https://media.themoviedb.org/t/p/w300_and_h450_bestv2/XsKM62tGS8eRPm9sM9fYGEyZVn.jpg,"Được chuyển thể từ tiểu thuyết Mickey 7 của nhà văn Edward Ashton, Cuốn tiểu thuyết xoay quanh các phiên bản nhân bản vô tính mang tên “Mickey”, dùng để thay thế con người thực hiện cuộc chinh phạt nhằm thuộc địa hóa vương quốc băng giá Niflheim. Mỗi khi một Mickey chết đi, một Mickey mới sẽ được tạo ra, với phiên bản được đánh số 1, 2, 3 tiếp theo. Mickey số 7 được cho rằng đã chết, để rồi một ngày kia, hắn quay lại và bắt gặp phiên bản tiếp theo của mình.",1,10,2025-04-08 15:08:09
1373723,The Codes of War(2025),03/20/2025 (KR,"['Phim Hành Động', 'Phim Chiến Tranh']",1h 32m,61,Joshua DeFour,Released,Tiếng Anh,-,-,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/oXeiQAfRK90pxxhP5iKPXQqAIN1.jpg,"War stories about family, ethics and honor include the true story of two U.S. Marines who in a span of six seconds, must stand their ground to stop a suicide truck bomb, a Navy Corpsman who attempts to hold on to his humanity, and a WW2 soldier who gets separated from his squad and is forced to re-evaluate his code.",1,11,2025-04-08 15:08:14
1125899,Cleaner(2025),05/02/2025 (GB,"['Phim Hành Động', 'Phim Gây Cấn']",1h 36m,65,Martin Campbell,Released,Tiếng Anh,-,-,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/mwzDApMZAGeYCEVjhegKvCzDX0W.jpg,"When a group of radical activists take over an energy company's annual gala, seizing 300 hostages, an ex-soldier turned window cleaner suspended 50 storeys up on the outside of the building must save those trapped inside, including her younger brother.",1,12,2025-04-08 15:08:20
762509,Mufasa: Vua Sư Tử(2024),12/20/2024 (VN,"['Phim Phiêu Lưu', 'Phim Gia Đình', 'Phim Hoạt Hình']",1h 58m,74,Barry Jenkins,Released,Tiếng Anh,"$200,000,000.00","$721,046,090.00",https://media.themoviedb.org/t/p/w300_and_h450_bestv2/yTiVUcBeSUpmsPSbmzzK2JHeBjJ.jpg,"Mufasa: Vua Sư Tử là phần tiền truyện của bộ phim hoạt hình Vua Sư Tử trứ danh, kể về cuộc đời của Mufasa - cha của Simba. Phim là hành trình Mufasa từ một chú sư tử mồ côi lạc đàn trở thành vị vua sư tử huyền thoại của Xứ Vua (Pride Land). Ngoài ra, quá khứ về tên phản diện Scar và hành trình hắc hóa của hắn cũng sẽ được phơi bày trong phần phim này.",1,13,2025-04-08 15:08:25
1229730,Băng Cướp Siêu Xe(2025),03/28/2025 (FR,"['Phim Hành Động', 'Phim Phiêu Lưu']",1h 37m,62,Kamel Guemra,Released,Tiếng Pháp,-,-,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/wbkPMTz2vVai7Ujyp0ag7AM9SrO.jpg,"Ban ngày, họ là những giá trị, tiếp viên và người pha chế vô hình tại một khách sạn sang trọng. Vào ban đêm, họ là những kẻ lừa đảo, một nhóm tài xế lành nghề theo dõi và Rob giàu có trên đường. Khi họ lên kế hoạch cho vụ trộm cuối cùng của họ, giám đốc khách sạn thuê một người tấn công tàn nhẫn, để ngăn chặn họ bằng mọi giá. Với nguy cơ đóng cửa, Nora, Zoe, Steve và uy tín có thể rút được điểm số lớn nhất của họ chưa?",1,14,2025-04-08 15:08:30
950387,Một bộ phim Minecraft(2025),04/04/2025 (US,"['Phim Gia Đình', 'Phim Hài', 'Phim Phiêu Lưu', 'Phim Giả Tượng']",1h 41m,61,Chris Bowman,Released,Tiếng Anh,"$150,000,000.00","$313,453,003.00",https://media.themoviedb.org/t/p/w300_and_h450_bestv2/wRrGBv4uNofBVyShxfS0iugbcm8.jpg,"Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve.",1,15,2025-04-08 15:08:35
1249385,Ghost Game(2024),10/18/2024 (US,"['Phim Kinh Dị', 'Phim Gây Cấn']",1h 26m,33,Jill Gevargizian,Released,Tiếng Anh,-,-,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/kxxWBEn7qTN2xumSferCHbDudcT.jpg,"As part of an internet challenge to live undetected in a stranger’s home, a daring couple target an infamous haunted house and endure a series of chilling incidents as they witness a family descending into madness.",1,16,2025-04-08 15:08:41
1252309,Ask Me What You Want(2024),11/29/2024 (ES,"['Phim Lãng Mạn', 'Phim Chính Kịch']",N/A,57,Lucía Alemany,Released,Tiếng Tây Ban Nhà kiểu Cax-ti-le,-,-,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/76qnVxU2rPdVvipBN3DPQH6fVYB.jpg,"After his father's death, Eric Zimmerman travels to Spain to oversee his company's branches. In Madrid, he falls for Judith and engage in an intense, erotic relationship full of exploration. However, Eric fears his secret may end their affair.",1,17,2025-04-08 15:08:47
1233575,Chiến Dịch Túi Đen(2025),03/14/2025 (VN,"['Phim Chính Kịch', 'Phim Bí Ẩn', 'Phim Gây Cấn']",1h 34m,64,Steven Soderbergh,Released,Tiếng Anh,"$50,000,000.00","$34,985,600.00",https://media.themoviedb.org/t/p/w300_and_h450_bestv2/hHPovtU4b96LHcoeEwRkGHI5btw.jpg,"When intelligence agent Kathryn Woodhouse is suspected of betraying the nation, her husband – also a legendary agent – faces the ultimate test of whether to be loyal to his marriage, or his country.",1,18,2025-04-08 15:08:54
1020414,Peter Pan's Neverland Nightmare(2025),02/14/2025 (GB,"['Phim Kinh Dị', 'Phim Gây Cấn', 'Phim Giả Tượng']",1h 29m,51,J.M. Barrie,Released,Tiếng Anh,"$250,000.00","$315,648.00",https://media.themoviedb.org/t/p/w300_and_h450_bestv2/mOR1Ks0EcXocwMV4EPv4letz0F5.jpg,"Wendy Darling strikes out in an attempt to rescue her brother Michael from the clutches of the evil Peter Pan who intends to send him to Neverland. Along the way she meets a twisted Tinkerbell, who is hooked on what she thinks is fairy dust.",1,19,2025-04-08 15:09:00
